RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
45      0.712082     0.660572     0.613748       0.685870   0.749840     0.472243     0.749840     0.763652     0.454886        0.763652        0.736519     0.490977      0.736519    
46      0.713545     0.656048     0.609014       0.685190   0.746273     0.466249     0.746273     0.760747     0.448306        0.760747        0.732339     0.485688      0.732339    
47      0.712970     0.655856     0.609132       0.684673   0.745987     0.466587     0.745987     0.760904     0.448138        0.760904        0.731643     0.486621      0.731643    
48      0.714136     0.656722     0.609759       0.683550   0.746788     0.467214     0.746788     0.761216     0.449296        0.761216        0.732897     0.486621      0.732897    
49      0.714772     0.656145     0.608396       0.683383   0.746650     0.465040     0.746650     0.760179     0.448196        0.760179        0.733593     0.483199      0.733593    
50      0.713111     0.653354     0.606118       0.684053   0.744176     0.462548     0.744176     0.758945     0.444381        0.758945        0.729971     0.482265      0.729971    
51      0.716923     0.654316     0.608103       0.682853   0.744523     0.465635     0.744523     0.760424     0.446123        0.760424        0.729274     0.486932      0.729274    
52      0.714822     0.656433     0.609894       0.684576   0.746377     0.467641     0.746377     0.761415     0.449026        0.761415        0.731921     0.487866      0.731921    
53      0.714494     0.652103     0.605556       0.684952   0.742869     0.462294     0.742869     0.758791     0.442861        0.758791        0.727602     0.483510      0.727602    
54      0.714076     0.652199     0.607773       0.685672   0.742041     0.466332     0.742041     0.760720     0.443789        0.760720        0.724258     0.491288      0.724258    
55      0.715922     0.652584     0.606248       0.684638   0.743170     0.463277     0.743170     0.759267     0.443622        0.759267        0.727741     0.484754      0.727741    
56      0.715799     0.653258     0.606392       0.684758   0.743941     0.463120     0.743941     0.759211     0.444381        0.759211        0.729274     0.483510      0.729274    
57      0.718145     0.651622     0.606582       0.683464   0.741834     0.464497     0.741834     0.759825     0.442752        0.759825        0.724676     0.488488      0.724676    
58      0.720055     0.653065     0.609603       0.683099   0.742334     0.469150     0.742334     0.762107     0.445345        0.762107        0.723561     0.495644      0.723561    
59      0.720596     0.651044     0.607023       0.682922   0.740926     0.465665     0.740926     0.760375     0.442329        0.760375        0.722447     0.491599      0.722447    
60      0.719063     0.651814     0.607924       0.684337   0.741498     0.466844     0.741498     0.760962     0.443449        0.760962        0.723004     0.492844      0.723004    
61      0.722639     0.650755     0.609047       0.683927   0.739689     0.469522     0.739689     0.762271     0.442790        0.762271        0.718406     0.499689      0.718406    
62      0.724345     0.651429     0.609793       0.682768   0.740209     0.470468     0.740209     0.762749     0.443740        0.762749        0.718963     0.500622      0.718963    
63      0.721337     0.652584     0.608997       0.683837   0.741995     0.468336     0.741995     0.761702     0.444631        0.761702        0.723283     0.494711      0.723283    
64      0.721068     0.651814     0.609041       0.684281   0.741016     0.468878     0.741016     0.761961     0.443858        0.761961        0.721193     0.496889      0.721193    
65      0.721899     0.652007     0.609781       0.684689   0.740937     0.470106     0.740937     0.762572     0.444321        0.762572        0.720496     0.499067      0.720496    
66      0.721828     0.653546     0.611325       0.684310   0.742194     0.471986     0.742194     0.763519     0.446448        0.763518        0.722029     0.500622      0.722029    
67      0.722841     0.652295     0.610248       0.682956   0.741096     0.470778     0.741096     0.762909     0.444783        0.762909        0.720496     0.500000      0.720496    
68      0.721616     0.652969     0.611165       0.683436   0.741542     0.472035     0.741542     0.763542     0.445796        0.763542        0.720775     0.501556      0.720775    
69      0.720830     0.651814     0.609814       0.683313   0.740682     0.470278     0.740682     0.762657     0.444137        0.762657        0.719939     0.499689      0.719939    
70      0.717192     0.650659     0.609064       0.683561   0.739561     0.469608     0.739561     0.762313     0.442700        0.762313        0.718127     0.500000      0.718127    
71      0.720974     0.647195     0.609219       0.683737   0.735116     0.471910     0.735116     0.763470     0.439378        0.763470        0.708792     0.509645      0.708792    
72      0.717465     0.648253     0.609298       0.685022   0.736425     0.471439     0.736425     0.763229     0.440422        0.763229        0.711439     0.507156      0.711439    
73      0.718847     0.646232     0.607921       0.683729   0.734470     0.470164     0.734470     0.762562     0.437970        0.762562        0.708374     0.507467      0.708374    
74      0.717861     0.646232     0.608608       0.685128   0.734163     0.471383     0.734163     0.763193     0.438235        0.763194        0.707259     0.509956      0.707259    
75      0.716682     0.648061     0.610447       0.686391   0.735670     0.473586     0.735670     0.764344     0.440664        0.764344        0.709071     0.511823      0.709071    
76      0.717838     0.646136     0.608452       0.685589   0.734109     0.471164     0.734109     0.763079     0.438085        0.763079        0.707259     0.509645      0.707259    
77      0.717033     0.647195     0.609992       0.685771   0.734771     0.473276     0.734771     0.764184     0.439669        0.764184        0.707538     0.512446      0.707538    
78      0.716555     0.645077     0.607944       0.685844   0.732986     0.470875     0.732986     0.762924     0.436901        0.762924        0.705309     0.510579      0.705309    
79      0.715876     0.646713     0.608183       0.686535   0.734965     0.470351     0.734965     0.762661     0.438526        0.762661        0.709210     0.507156      0.709210    
80      0.714723     0.647098     0.608376       0.686473   0.735368     0.470469     0.735368     0.762725     0.438965        0.762725        0.709907     0.506845      0.709907    
81      0.715521     0.646521     0.607786       0.686222   0.734897     0.469756     0.734897     0.762354     0.438190        0.762354        0.709349     0.506223      0.709349    
82      0.717749     0.646136     0.607250       0.684975   0.734647     0.469025     0.734647     0.761976     0.437618        0.761976        0.709210     0.505289      0.709210    
83      0.718656     0.643441     0.606673       0.684947   0.731463     0.469578     0.731463     0.762236     0.434898        0.762236        0.703079     0.510268      0.703079    
84      0.718693     0.643538     0.607516       0.685296   0.731205     0.471008     0.731205     0.762987     0.435322        0.762987        0.701965     0.513068      0.701965    
85      0.719414     0.643826     0.606523       0.684175   0.732025     0.469086     0.732025     0.761984     0.435188        0.761984        0.704333     0.508712      0.704333    
86      0.718100     0.643923     0.606936       0.685314   0.731962     0.469762     0.731962     0.762336     0.435441        0.762336        0.703915     0.509956      0.703915    
87      0.717419     0.644115     0.607591       0.685917   0.731912     0.470807     0.731912     0.762883     0.435877        0.762883        0.703358     0.511823      0.703358    
88      0.717688     0.644789     0.607563       0.684885   0.732788     0.470369     0.732788     0.762658     0.436485        0.762658        0.705169     0.509956      0.705169    
89      0.717411     0.646425     0.609005       0.685732   0.734230     0.471975     0.734230     0.763502     0.438568        0.763502        0.707120     0.510890      0.707120    
90      0.717193     0.645559     0.608807       0.685590   0.733213     0.472123     0.733213     0.763579     0.437683        0.763579        0.705169     0.512446      0.705169    
91      0.717314     0.644308     0.607472       0.685793   0.732213     0.470487     0.732213     0.762717     0.436006        0.762717        0.704055     0.510890      0.704055    
92      0.716926     0.646040     0.610530       0.686494   0.733053     0.474872     0.733053     0.765036     0.438786        0.765036        0.703637     0.517424      0.703637    
93      0.716106     0.644596     0.608368       0.687136   0.732178     0.471900     0.732178     0.763460     0.436623        0.763460        0.703358     0.513379      0.703358    
94      0.715335     0.646617     0.610862       0.687719   0.733643     0.475129     0.733643     0.765169     0.439450        0.765169        0.704612     0.517113      0.704612    
95      0.717093     0.643153     0.608784       0.687336   0.730131     0.473445     0.730131     0.764285     0.435475        0.764285        0.698899     0.518668      0.698899    
96      0.716334     0.642960     0.608301       0.687104   0.730103     0.472712     0.730103     0.763891     0.435113        0.763891        0.699178     0.517424      0.699178    
97      0.716101     0.644981     0.609248       0.687970   0.732274     0.473226     0.732274     0.764162     0.437319        0.764162        0.702940     0.515557      0.702940    
98      0.718298     0.643057     0.608542       0.686815   0.730117     0.473079     0.730117     0.764088     0.435294        0.764088        0.699039     0.518046      0.699039    
99      0.719320     0.641998     0.607175       0.686021   0.729376     0.471291     0.729376     0.763130     0.433804        0.763130        0.698481     0.515868      0.698481    
100     0.718953     0.642479     0.607695       0.686576   0.729759     0.471926     0.729759     0.763470     0.434441        0.763470        0.698899     0.516490      0.698899    
101     0.718916     0.642768     0.607388       0.685867   0.730272     0.471225     0.730272     0.763098     0.434577        0.763098        0.700153     0.514624      0.700153    
102     0.718787     0.643826     0.608412       0.686670   0.731169     0.472416     0.731169     0.763733     0.435938        0.763733        0.701268     0.515557      0.701268    
103     0.720255     0.642864     0.608575       0.686396   0.729854     0.473243     0.729854     0.764177     0.435134        0.764177        0.698481     0.518668      0.698481    
104     0.719994     0.642094     0.607244       0.686219   0.729468     0.471357     0.729468     0.763166     0.433918        0.763166        0.698621     0.515868      0.698621    
105     0.721173     0.644500     0.609587       0.686067   0.731502     0.474089     0.731502     0.764625     0.437008        0.764625        0.701129     0.518046      0.701129    
106     0.719041     0.643538     0.609062       0.687149   0.730501     0.473714     0.730501     0.764428     0.435931        0.764428        0.699457     0.518668      0.699457    
107     0.721084     0.642864     0.608833       0.687169   0.729736     0.473692     0.729736     0.764419     0.435236        0.764419        0.698063     0.519602      0.698063    
108     0.720674     0.642190     0.608173       0.686645   0.729167     0.472923     0.729167     0.764005     0.434375        0.764005        0.697367     0.518979      0.697367    
109     0.719784     0.641228     0.608335       0.687828   0.727843     0.473744     0.727843     0.764453     0.433592        0.764453        0.694580     0.522091      0.694580    
110     0.720407     0.641998     0.609580       0.687630   0.728269     0.475465     0.728269     0.765392     0.434760        0.765392        0.694580     0.524580      0.694580    
111     0.720166     0.642479     0.608468       0.687787   0.729405     0.473274     0.729405     0.764194     0.434749        0.764194        0.697645     0.519291      0.697645    
