RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
45      0.778907     0.650948     0.526463       0.574275   0.771441     0.261755     0.771441     0.704211     0.378458        0.704211        0.852863     0.200062      0.852863    
46      0.778940     0.650948     0.526635       0.574332   0.771384     0.262355     0.771384     0.704305     0.378743        0.704305        0.852585     0.200685      0.852585    
47      0.779021     0.650659     0.526254       0.573903   0.771209     0.261595     0.771209     0.704109     0.377791        0.704109        0.852445     0.200062      0.852445    
48      0.779134     0.650467     0.526286       0.573673   0.770996     0.262089     0.770996     0.704135     0.377635        0.704135        0.851888     0.200685      0.851888    
49      0.778693     0.651044     0.526618       0.573866   0.771490     0.262108     0.771490     0.704292     0.378824        0.704292        0.852863     0.200373      0.852863    
50      0.778766     0.651140     0.526688       0.573591   0.771567     0.262162     0.771567     0.704326     0.379046        0.704326        0.853003     0.200373      0.853003    
51      0.778540     0.651718     0.526934       0.573672   0.772089     0.261880     0.772089     0.704436     0.380107        0.704436        0.854117     0.199751      0.854117    
52      0.778488     0.651622     0.526779       0.573545   0.772040     0.261526     0.772040     0.704355     0.379739        0.704355        0.854117     0.199440      0.854117    
53      0.778514     0.651429     0.526382       0.573544   0.771972     0.260514     0.771972     0.704146     0.378860        0.704146        0.854257     0.198507      0.854257    
54      0.778747     0.651429     0.526553       0.573759   0.771914     0.261118     0.771914     0.704240     0.379147        0.704240        0.853978     0.199129      0.853978    
55      0.779153     0.650659     0.525996       0.573497   0.771295     0.260692     0.771295     0.703968     0.377358        0.703968        0.852863     0.199129      0.852863    
56      0.778917     0.650852     0.526049       0.573440   0.771479     0.260497     0.771479     0.703989     0.377660        0.703989        0.853281     0.198818      0.853281    
57      0.778715     0.651333     0.526226       0.573158   0.771923     0.260159     0.771923     0.704065     0.378491        0.704065        0.854257     0.198195      0.854257    
58      0.778761     0.651237     0.526156       0.573231   0.771846     0.260106     0.771846     0.704031     0.378266        0.704031        0.854117     0.198195      0.854117    
59      0.778904     0.651333     0.526312       0.573171   0.771894     0.260461     0.771894     0.704112     0.378635        0.704112        0.854117     0.198507      0.854117    
60      0.778755     0.651814     0.526488       0.573060   0.772338     0.260123     0.772338     0.704188     0.379475        0.704188        0.855093     0.197884      0.855093    
61      0.778603     0.651910     0.526472       0.572861   0.772444     0.259873     0.772444     0.704175     0.379558        0.704175        0.855371     0.197573      0.855371    
