RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
45      0.694699     0.607641     0.549231       0.567529   0.712056     0.384418     0.712056     0.721999     0.373423        0.721999        0.702383     0.396080      0.702383    
46      0.694586     0.607352     0.549194       0.567385   0.711702     0.384615     0.711702     0.722007     0.373244        0.722007        0.701686     0.396702      0.701686    
47      0.694363     0.607737     0.548356       0.567506   0.712593     0.382424     0.712593     0.721342     0.372711        0.721342        0.704055     0.392657      0.704055    
48      0.695007     0.607641     0.549661       0.567294   0.711852     0.385346     0.711852     0.722318     0.373794        0.722318        0.701686     0.397635      0.701686    
49      0.694913     0.606486     0.548825       0.567185   0.710759     0.384650     0.710759     0.721839     0.372486        0.721839        0.700014     0.397635      0.700014    
50      0.694612     0.606486     0.548739       0.567322   0.710800     0.384465     0.710800     0.721775     0.372412        0.721775        0.700153     0.397324      0.700153    
51      0.694835     0.606679     0.548620       0.567423   0.711105     0.384024     0.711105     0.721664     0.372406        0.721664        0.700850     0.396391      0.700850    
52      0.694682     0.607545     0.549247       0.567350   0.711924     0.384546     0.711924     0.722023     0.373388        0.722023        0.702104     0.396391      0.702104    
53      0.694801     0.606775     0.549120       0.567342   0.710992     0.385009     0.710992     0.722023     0.372886        0.722023        0.700293     0.397946      0.700293    
54      0.695691     0.604562     0.548462       0.567375   0.708437     0.385708     0.708437     0.721804     0.371223        0.721805        0.695555     0.401369      0.695555    
55      0.695053     0.605716     0.548869       0.567220   0.709741     0.385481     0.709741     0.721966     0.372140        0.721966        0.697924     0.399813      0.697924    
56      0.695557     0.604947     0.548483       0.567463   0.708927     0.385387     0.708927     0.721773     0.371429        0.721773        0.696531     0.400436      0.696531    
57      0.695071     0.606390     0.548841       0.567141   0.710627     0.384777     0.710627     0.721863     0.372452        0.721863        0.699735     0.397946      0.699735    
58      0.694632     0.606871     0.548416       0.567197   0.711450     0.383396     0.711450     0.721490     0.372325        0.721490        0.701686     0.395146      0.701686    
59      0.694676     0.607449     0.548834       0.567041   0.711996     0.383744     0.711996     0.721729     0.372981        0.721729        0.702522     0.395146      0.702522    
60      0.694721     0.606583     0.548121       0.567058   0.711218     0.383037     0.711218     0.721307     0.371923        0.721307        0.701407     0.394835      0.701407    
61      0.694748     0.606871     0.548502       0.567004   0.711409     0.383582     0.711409     0.721553     0.372400        0.721553        0.701547     0.395457      0.701547    
62      0.695056     0.606294     0.548685       0.567012   0.710577     0.384534     0.710577     0.721759     0.372269        0.721759        0.699735     0.397635      0.699735    
63      0.694953     0.606101     0.548288       0.567143   0.710517     0.383863     0.710517     0.721488     0.371829        0.721488        0.699875     0.396702      0.699875    
64      0.694726     0.606775     0.548604       0.567072   0.711237     0.383896     0.711237     0.721641     0.372440        0.721641        0.701129     0.396080      0.701129    
65      0.695166     0.605813     0.548337       0.566799   0.710120     0.384245     0.710120     0.721559     0.371728        0.721559        0.699039     0.397635      0.699039    
66      0.694910     0.606775     0.548432       0.566674   0.711318     0.383524     0.711318     0.721514     0.372291        0.721514        0.701407     0.395457      0.701407    
67      0.694508     0.607449     0.548662       0.566953   0.712077     0.383371     0.712077     0.721602     0.372832        0.721602        0.702801     0.394524      0.702801    
68      0.694724     0.606775     0.548089       0.566808   0.711481     0.382779     0.711481     0.721260     0.371991        0.721260        0.701965     0.394213      0.701965    
69      0.695006     0.606294     0.548342       0.566745   0.710740     0.383793     0.710740     0.721504     0.371971        0.721504        0.700293     0.396391      0.700293    
70      0.694574     0.608026     0.549338       0.566631   0.712501     0.384278     0.712501     0.722031     0.373714        0.722031        0.703219     0.395457      0.703219    
71      0.695321     0.605428     0.547801       0.566600   0.709878     0.383459     0.709878     0.721208     0.371071        0.721208        0.698899     0.396702      0.698899    
72      0.695046     0.605620     0.547682       0.566755   0.710184     0.383017     0.710184     0.721097     0.371062        0.721097        0.699596     0.395769      0.699596    
73      0.694933     0.606294     0.548514       0.566648   0.710658     0.384164     0.710658     0.721632     0.372120        0.721632        0.700014     0.397013      0.700014    
74      0.694987     0.606198     0.548444       0.566708   0.710567     0.384106     0.710567     0.721592     0.372012        0.721592        0.699875     0.397013      0.699875    
75      0.694924     0.606101     0.547945       0.566624   0.710681     0.383120     0.710681     0.721234     0.371529        0.721234        0.700432     0.395457      0.700432    
76      0.695158     0.605524     0.547956       0.566687   0.709929     0.383702     0.709929     0.721311     0.371254        0.721311        0.698899     0.397013      0.698899    
77      0.695144     0.605332     0.547817       0.566724   0.709746     0.383586     0.709746     0.721231     0.371038        0.721231        0.698621     0.397013      0.698621    
78      0.694713     0.606968     0.548056       0.566529   0.711745     0.382522     0.711745     0.721213     0.372059        0.721213        0.702522     0.393591      0.702522    
79      0.694845     0.607064     0.548212       0.566604   0.711795     0.382766     0.711795     0.721316     0.372243        0.721316        0.702522     0.393902      0.702522    
80      0.694691     0.606968     0.548142       0.566262   0.711704     0.382709     0.711704     0.721276     0.372134        0.721276        0.702383     0.393902      0.702383    
81      0.694269     0.607834     0.548340       0.566347   0.712725     0.382295     0.712725     0.721318     0.372746        0.721318        0.704333     0.392346      0.704333    
82      0.694931     0.607256     0.548952       0.566421   0.711692     0.384186     0.711692     0.721840     0.372986        0.721840        0.701825     0.396080      0.701825    
83      0.694510     0.607834     0.548855       0.566342   0.712481     0.383417     0.712481     0.721698     0.373196        0.721698        0.703497     0.394213      0.703497    
84      0.695563     0.604754     0.548172       0.566710   0.708827     0.384903     0.708827     0.721565     0.371066        0.721565        0.696531     0.399813      0.696531    
85      0.695060     0.606101     0.547687       0.566162   0.710803     0.382561     0.710803     0.721044     0.371303        0.721044        0.700850     0.394524      0.700850    
86      0.694841     0.607160     0.548883       0.566329   0.711601     0.384128     0.711601     0.721800     0.372876        0.721800        0.701686     0.396080      0.701686    
87      0.694713     0.607064     0.548727       0.566351   0.711551     0.383884     0.711551     0.721697     0.372693        0.721697        0.701686     0.395769      0.701686    
88      0.695042     0.606101     0.548202       0.566355   0.710558     0.383677     0.710558     0.721424     0.371754        0.721424        0.700014     0.396391      0.700014    
89      0.695175     0.605909     0.548235       0.566111   0.710294     0.383933     0.710294     0.721472     0.371687        0.721472        0.699457     0.397013      0.699457    
90      0.694797     0.607064     0.548813       0.566097   0.711510     0.384070     0.711510     0.721760     0.372767        0.721760        0.701547     0.396080      0.701547    
91      0.694848     0.606198     0.548358       0.566348   0.710608     0.383921     0.710608     0.721528     0.371937        0.721528        0.700014     0.396702      0.700014    
92      0.694794     0.606486     0.548481       0.566074   0.710923     0.383908     0.710923     0.721584     0.372188        0.721584        0.700571     0.396391      0.700571    
93      0.694843     0.606871     0.548760       0.565949   0.711287     0.384140     0.711287     0.721744     0.372624        0.721744        0.701129     0.396391      0.701129    
94      0.695019     0.606390     0.548583       0.566004   0.710750     0.384222     0.710750     0.721672     0.372229        0.721672        0.700153     0.397013      0.700153    
95      0.695087     0.606679     0.548792       0.566109   0.711023     0.384395     0.711023     0.721792     0.372555        0.721792        0.700571     0.397013      0.700571    
96      0.695348     0.606101     0.548890       0.565830   0.710230     0.385158     0.710230     0.721934     0.372350        0.721934        0.698899     0.398880      0.698899    
97      0.695260     0.606101     0.549061       0.565905   0.710148     0.385528     0.710148     0.722062     0.372498        0.722062        0.698621     0.399502      0.698621    
98      0.695592     0.605620     0.549572       0.566471   0.709279     0.387077     0.709279     0.722503     0.372696        0.722503        0.696531     0.402614      0.696531    
99      0.695166     0.606871     0.548932       0.566050   0.711205     0.384511     0.711205     0.721871     0.372772        0.721871        0.700850     0.397013      0.700850    
100     0.694908     0.607545     0.549247       0.565820   0.711924     0.384546     0.711924     0.722023     0.373388        0.722023        0.702104     0.396391      0.702104    
101     0.695141     0.606390     0.548583       0.566149   0.710750     0.384222     0.710750     0.721672     0.372229        0.721672        0.700153     0.397013      0.700153    
102     0.694888     0.607160     0.549141       0.566193   0.711479     0.384685     0.711479     0.721991     0.373099        0.721991        0.701268     0.397013      0.701268    
